city,tag,dup,matched,name,host,url,snippet,notes
scottsdale,real?,DUP,Happy Hour,Isabella's Kitchen,grayhawkgolf.com,https://grayhawkgolf.com/dining-overview/isabellas-kitchen/,lla's Kitchen Indoor-Outdoor Dining and Happy Hour Hangout Open to Everyone Screw It! Menu Lunch/Dinner Menu Drinks Menu Dessert M,
tacoma,real?,,Happy Hour,Holy Moly Bar,holymolybar.com,https://www.holymolybar.com/,Events Menu Book a Party About Contact Happy Hour is on All Day Mondays Mondays are dumb. So we made them cheaper! Check us out!,
tucson,real?,,happy hour,Hooters,hooters.com,https://www.hooters.com/locations/31128-tucson?utm_source=google&utm_medium=organic&utm_campaign=gmb-website-cta-tucson-az-tucson,"always be found right in Tucson. Daily happy hour specials, drink specials and craft beer on tap. Find your closest Hooters Enter",
scottsdale,real?,,Happy Hour,Il Capo Pizzeria,ilcapoaz.com,https://www.ilcapoaz.com/,imported from Italy or locally grown. · Happy Hour · /happy-hour · Win $500! Enter by writing a dish review to help others. Drawin,
oakland,real?,,happy hour,The Italian Homemade Company,italianhomemadecompany.com,http://www.italianhomemadecompany.com/,"s are allowed outside. They also have a happy hour with beer, wine and spritz specials at 4pm My husband and I love this spot. Thi",
tucson,real?,,Happy Hour,Jimmy's Pizzeria,jimmyspizzaaz.com,https://jimmyspizzaaz.com/,"Call Us Today Download Jimmy's Coupons Happy Hour All Day Feeling thirsty? At Jimmy’s, it’s happy hour all day long, and of cours",
spokane,real?,,HAPPY HOUR,JEWEL OF THE NORTH Neighborhood Gastropub,jotnspokane.com,http://www.jotnspokane.com/,"B Family Friendly OUR MENUS JOIN US FOR HAPPY HOUR Drinks , food, friends and fun SIGNATURE COCKTAILS THE PATIO IS OPEN! Dog Frien",
phoenix-central,real?,,HAPPY HOUR,Kings Beer & Wine,kingsbeerwine.com,http://www.kingsbeerwine.com/,unwind after work. ROYAL EVENTS MONDAY- HAPPY HOUR - ALL DAY ​Check back here to see what's happening at Kings! We have weekly eve,
oakland,real?,,happy-hour,King Yen,kingyenrestaurant.com,https://www.kingyenrestaurant.com/menu/happy-hour,"https://www.kingyenrestaurant.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
san-luis-obispo,real?,,Happy Hour,KROBĀR Craft Distillery,krobardistillery.com,https://www.krobardistillery.com/krobar-events,ded to the best BRAIN(s) in the room. · Happy Hour & Game Night Thursdays · you can test out those two left feet and see if you ca,
scottsdale,real?,,Happy Hour,Los Sombreros,lossombreros.com,https://www.lossombreros.com/,os Sombreros Margarita Flight Tasting - Happy Hour Scottsdale Phoenix Mesa Large.jpeg · Los Sombreros Margarita Flight Tasting - H,
tucson,real?,,happy-hour,Main Event Tucson,mainevent.com,https://www.mainevent.com/,ds Up! Dismiss Careers Menu · /specials/happy-hour · /events/corporate-events/happy-hour · menu/bar · /menu/bar · menu/food · /men,
scottsdale,real?,DUP,happy-hour,AGAVE Southwest Bar & Grill,marriott.com,http://www.marriott.com/hotels/hotel-information/restaurant/phxno-scottsdale-marriott-at-mcdowell-mountains/,mpany colorful cocktails at this urbane happy-hour spot. +1 480-515-5000 Open for Lunch & Dinner Dress Code: Dress Jeans Seafood M,
phoenix-central,real?,,happy-hour,Michelina's Italian Restaurant,michelinasrestaurant.com,https://www.michelinasrestaurant.com/menu/happy-hour,"tps://www.michelinasrestaurant.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
phoenix-central,real?,,Happy Hour,mixela,mixelaphx.com,https://mixelaphx.com/?utm_source=google,"r a · wine and cocktails with friends · Happy Hour.jpg · Sample Seasonal Menu · , ""menu"": ""https://www.mixelaphx.com/"", ""servesCui",
spokane,real?,,Happy Hour,Mustard Seed,mustardseedweb.com,http://www.mustardseedweb.com/,"isit Mustard Seed in Spokane & Missoula Happy Hour, Cocktails & Group Dining Mustard Seed is a locally loved Pan-Asian restaurant",
tucson,real?,,Happy Hour,Los Olivos,orderlosolivos.com,https://orderlosolivos.com/happy-hour-menu,Happy Hour Menu Los Olivos Home Menu About Us Contact Us Order Now Our Favorites Most Love,
spokane,real?,,happy hour,Outlaw BBQ & Catering - North Location,outlawbbqspokane.com,http://www.outlawbbqspokane.com/,"r your meal, or settle in for a relaxed happy hour with friends. Be sure to save room for dessert. Our full display case is stocke",
phoenix-central,real?,,happy_hour,Pappadeaux Seafood Kitchen,pappadeaux.com,https://pappadeaux.com/,".54.23"" :crawfish-promo-locations='[]' :happy-hour-locations='[6,12,37,36,11,23,10,1,13,19,34,32,22,7,20,38,8,18,9,30,26,24]' > We",
scottsdale,real?,,happy hour,Parma Italian Roots Italian Restaurant,parmaitalianaz.com,https://www.parmaitalianaz.com/,"cooking at Parma. Enjoy lunch, brunch, happy hour, and dinner in a buzzy, yet laid-back setting. PARMA ITALIAN ROOTS Join our mai",
scottsdale,real?,,Happy Hour,Pattie's First Avenue Lounge,pattiesfirstavenuelounge.cfd,https://pattiesfirstavenuelounge.cfd/,Dining Parking Validated Street Parking Happy Hour Beer and Wine Good for Groups Photos Frequently Asked Questions What services d,
tucson,real?,DUP,Happy hour,Reds Tacos & More,redstacos.com,https://redstacos.com/,am Tuesday through Sunday 10am to 2am . Happy hour specials! Taco Tuesday specials! Click below to order from this location. **New,
tucson,real?,DUP,Happy hour,REDS TACOS & MORE,redstacos.com,http://redstacos.com/,am Tuesday through Sunday 10am to 2am . Happy hour specials! Taco Tuesday specials! Click below to order from this location. **New,
spokane,real?,,happy hour,Applebee's Grill + Bar,restaurants.applebees.com,https://restaurants.applebees.com/en-us/wa/spokane/9634-n.-newport-hwy.-84097?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=84097&utm_content=website,"g options you'll love. Looking for that happy hour vibe? Enjoy food and drink specials any time with our selection of appetizers,",
tucson,real?,,happy-hour,Sakura Teppan Steak & Sushi,sakurateppansteaksushi.shop,https://sakurateppansteaksushi.shop/,erves coffee Serves comfort food Serves happy-hour drinks Serves happy-hour food Serves healthy options Serves late-night food Ser,
oakland,real?,,Happy Hour,Saucy Oakland,saucyoakland.com,http://www.saucyoakland.com/,"e currently offer Sunday Brunch, Lunch, Happy Hour, Dinner, and Late night. · Our menu is designed with allergens and dietary rest",
tucson,real?,,Happy Hour,Short Rest Tavern,shortresttavern.com,http://www.shortresttavern.com/,"ith us tonight! EVENT CALENDAR About Us Happy Hour We all need a place to relax and escape 2025, so why not do it with a drink in",
scottsdale,real?,,Happy Hour,SWAN Sushi Seafood Bar,swansushi.com,https://www.swansushi.com/,"yourself in the vibrant ambiance, where Happy Hour turns into memorable evenings and laughter flows freely under the Arizona sun.",
phoenix-central,real?,,Happy Hour,Taco Boy's,taco-boys.shop,https://taco-boys.shop/menu,ing experience. Don't miss out on their Happy Hour specials and full bar for a complete dining experience. Our address 620 E Roose,
phoenix-central,real?,,Happy Hour,Tacos Calafia North,tacoscalafia.com,https://tacoscalafia.com/,for? Order Online Catering Join us for Happy Hour! Visit your favorite Tacos Calafia location to learn more about their Happy Hou,
san-luis-obispo,real?,,Happy Hour,TASTE! craft eatery,tasteslo.com,https://www.tasteslo.com/,of page Home Menu Cocktails Wine & Beer Happy Hour Reservations Order Online Contact Us More Use tab to navigate through the menu,
phoenix-central,real?,DUP,happy-hour,The Capital Grille,thecapitalgrille.com,https://www.thecapitalgrille.com/about-us,"""input"",null,{""type"":""hidden"",""id"":""showHappyHour"",""value"":""""}],[""$"",""input"",null,{""type"":""hidden"",""value"":""1"",""id"":""emailSignupS",
scottsdale,real?,DUP,happy-hour,The Capital Grille,thecapitalgrille.com,https://www.thecapitalgrille.com/about-us/accessibility-statement,"""input"",null,{""type"":""hidden"",""id"":""showHappyHour"",""value"":""""}],[""$"",""input"",null,{""type"":""hidden"",""value"":""1"",""id"":""emailSignupS",
phoenix-central,real?,,happy hour,The Liberty Tavern,thelibertytavernaz.com,http://thelibertytavernaz.com/,"re looking for a casual snack, a lively happy hour, or a weekend gathering spot, Liberty Tavern offers something for everyone. A C",
tucson,real?,,Happy Hour,The Ranch Bar and Grill - Tucson,theranchbarandgrilltucson.com,https://www.theranchbarandgrilltucson.com/,a whole lot of heart. · View our Menu · Happy Hour · Happy Hour Picture.jpeg · Monday thru Friday from 2:00 PM to 5 PM. $2 off app,
tucson,real?,,Happy Hour,Mi Nidito Restaurant,thevillagetavernnyc.com,https://www.thevillagetavernnyc.com/event/happy-hour/,"nt starts here, tab to start navigating Happy Hour Join us for Happy Hour! Monday through Friday 4 - 7pm Saturday and Sunday 12 -",
tacoma,real?,,happy hour,Tonala Mexican Restaurant,tonalamexicanrestaurant.com,http://www.tonalamexicanrestaurant.com/,"Mexican cuisine made fresh daily, and a happy hour you will not want to miss! Join us to enjoy traditional, family-style Mexican r",
oakland,real?,,happy hour,Two Pitchers Brewing Company,twopitchers.com,http://www.twopitchers.com/oakland,"s. It’s the perfect space for a private happy hour, company get together, or birthday bash. $300+/hr, with a two hour minimum. Res",
tucson,real?,,happy-hour,Vivace Restaurant,vivacetucson.com,https://www.vivacetucson.com/menu/happy-hour,"page https://www.vivacetucson.com/menu/happy-hour · } max-age=0; path=${r}; expires=Thu, 01 Jan 1970 00:00:01 GMT`;function m(e,t",
scottsdale,real?,,HAPPY HOUR,The White Chocolate Grill,whitechocolategrill.com,https://www.whitechocolategrill.com/menu,ailability are subject to change $ 9.50 HAPPY HOUR DRINKS $ 9.50 $ 9 WINES BY THE GLASS $ 9 $ 7 DRAFT BEER $ 7 $ 9.50 PRIVATE BARR,
tucson,real?,,happy-hour,Yard House,yardhouse.com,https://www.yardhouse.com/happy-hour,/happy-hour,
phoenix-central,weak:op-hours-or-nav,,special,24th Street Cigar Shop & Bar | Phoenix AZ,24thstreetcigarlounge.co,https://24thstreetcigarlounge.co/,"o learn about limited cigars, special events, and updates Email Address Sign Up We respect your priv",
phoenix-central,weak:op-hours-or-nav,,3PM - 11PM,36 Below,36belowaz.com,https://36belowaz.com/,"Sip Coffee and Beer Hours Sun 3PM - 11PM Tue, Wed, Thur 4PM - 12AM Fri 4PM - 1AM Sat 3PM- 1AM *CLOSE",
five-cities,weak:op-hours-or-nav,,7 am - 2 pm,Perfetto Caffe,8575perfettocaffe.com,http://www.8575perfettocaffe.com/,93433 (805) 994 7112 Tue-Sun: 7 am - 2 pm Mon: closed Privacy & Cookies: This site uses cookies. By,
phoenix-central,weak:op-hours-or-nav,,Special,Ace of wingz,aceofwingz.com,http://aceofwingz.com/,nu/U4JKMWPGM4PHZKMS3Z5NCLUJ · Special of the day!!! · /shop/special-of-the-day/FUAE57XFG6RHT44NMZP2V,
phoenix-central,weak:op-hours-or-nav,,specials,Across The Pond,acrossthepondphx.com,https://www.acrossthepondphx.com/?utm_source=GMB&utm_medium=local&utm_campaign=phoenix,"al dishes, and chef's nightly specials. Sushi Menu The Bar With a menu built in collaboration betwee",
five-cities,weak:op-hours-or-nav,,daily,AJ Spurs Saloon & Dining Hall,ajspurs.com,http://www.ajspurs.com/,storage.com/services/bookings-daily-agenda-widget/1.640.0/DailyAgendaViewerWidget.bundle.min.js · ./,
daly-city,weak:op-hours-or-nav,,special,Al Fin Restaurant,alfinrestaurant.online,http://alfinrestaurant.online/happy-hour,Fin Restaurant transform your special occasion into an authentic Latin American celebration. Our pas,
oakland,weak:op-hours-or-nav,,2PM-9PM,Almanac West Oakland Clubhouse,almanacbeer.com,https://almanacbeer.com/pages/west-oakland-hours,use HOURS & ADDRESS MON-TUES: 2PM-9PM WEDS-THURS: 12PM-9PM FRI: 12PM-10PM SAT: 11AM-10PM SUN: 11AM-9,
scottsdale,weak:op-hours-or-nav,,Special,Alo Cafe,alocafeaz.com,https://alocafeaz.com/menu/,"217;s Cel-Ray $ 5.5 Manhattan Special $ 5.5 (espresso soda from Brooklyn) Canned Sodas $ 3 (Coke,Ver",
tucson,weak:op-hours-or-nav,,special,AMELIAS MEXICAN KITCHEN,ameliastucson.com,https://ameliastucson.com/ameliasmexicankitchenoracle?utm_source=google,"family party, work event, or special celebration. With customizable menu options and hassle-free de",
tucson,weak:op-hours-or-nav,,Special,Market Bar,americaneatco.com,http://americaneatco.com/,Non-Profit Family Outing Add Special Instructions · Update Your Special Instructions · Special inst,
san-luis-obispo,weak:op-hours-or-nav,,8AM - 3PM,Anderson Social,anderson.social,https://anderson.social/,Hours Espresso + Pâtisseries 8AM - 3PM everyday Cocktails + Small Plates 5PM - 11PM FRI / SAT $10 c,
scottsdale,weak:op-hours-or-nav,,11am - 8pm,Andreoli Italian Grocer,andreoli-grocer.com,http://www.andreoli-grocer.com/,Sun. Closed Mon. Closed Tue. 11am - 8pm Wed. 11am - 8pm Thu. 11am - 8pm Fri. 11am - 9pm Sat. 11am -,
tucson,weak:op-hours-or-nav,,Specials,Angry Crab Shack,angrycrabshack.com,https://www.angrycrabshack.com/broadway-blvd-tucson,ck Out Our Catering! CATERING Specials Events Amenities Specials The Seafood Boil Experience If you,
tucson,weak:op-hours-or-nav,,special,Casa Asada Taquería y Cervecería,asadataqueria.com,https://asadataqueria.com/menu/,"onoran-Mexican dishes, with a special emphasis on our traditional thick-cut steak tacos. Enhance you",
oakland,weak:op-hours-or-nav,,8AM-4PM,Ashby Eatery,ashbyeatery.com,http://www.ashbyeatery.com/,g Hours: Wednesday - Sunday : 8AM-4PM Closed: Mon-Tues Contact: Tel: (510) 529-4125 Email: admin@ash,
phoenix-central,weak:op-hours-or-nav,,special,Asi Es La Vida Restaurant,asieslavidarestaurant.com,https://asieslavidarestaurant.com/asi-es-la-vida-dinner-menu/,"ican dish, often reserved for special occasions Combo $24.95 Choose two of our famous stews Tinga $2",
oakland,weak:op-hours-or-nav,,5pm - 2am,AU Lounge,auoakland.com,http://www.auoakland.com/,r natural feeling. Tue - Sun: 5pm - 2am Closed Mon & Tues Email us for Corporate Reservations 2430 B,
phoenix-central,weak:op-hours-or-nav,,special,Arizona American Italian Club,azaiclub.com,http://azaiclub.com/,s. Here's what makes our club special: Weekly Bingo & Bocce games. Live performances and band nights,
tucson,weak:op-hours-or-nav,,30 AM–10 PM,Azian,aziansushitucson.com,https://www.aziansushitucson.com/,rean BBQ M-T: Closed W-TH: 11:30 AM–10 PM F-S: 11:30 AM–11 PM Sun: 12PM &#8211; 10 PM Popular Dishes,
phoenix-central,weak:op-hours-or-nav,,Special,Tacos Veganos,aztacosveganos.com,http://aztacosveganos.com/,live for the asada Taco Plate Special and order it again and again! · Bailee L My absolute favorite,
oakland,weak:op-hours-or-nav,,30am-3pm,Bacogai,bacogai.com,http://bacogai.com/,"| ORDER NOW | GALLERY \ · 11:30am-3pm 5pm - 9:30pm | WEDNESDAY - CLOSED\ \ 2651 BLANDING AVE., ALAM",
tucson,weak:op-hours-or-nav,,Specials,Bamboo View,bamboo-view.com,https://bamboo-view.com/menu/happy-hour,on Family Style Entrees Chefs Specials Fried Rice Egg Foo Young Lo Mein Chow Mein Chop Suey Side Ord,
daly-city,weak:op-hours-or-nav,,special,Banana Island,bananaislandrestaurant.us,https://www.bananaislandrestaurant.us/,ith steamed chicken and chefs special soy sauce SIZZLING BEEF Stirfried sliced beef with green peppe,
scottsdale,weak:op-hours-or-nav,,Special,Bar Bambino,barbambino.com,https://www.barbambino.com/menus/,"e Bottle Champagne, Bollinger Special Cuvee, NV $ 560 Champagne, Perrier Jouet NV $ 650 Barolo, Luci",
tucson,weak:op-hours-or-nav,,6PM-11PM,Bar Crisol/Exo,barcrisol.com,http://www.barcrisol.com/,UESDAY-SUNDAY 7-3 BAR WED-SAT 6PM-11PM ABOUT IN THE PRESS CONTACT US BUY A GIFT CARD Log in barcriso,
tucson,weak:op-hours-or-nav,,Specials,Barnfire Mesquite Grill,barnfiremesquitegrill.com,https://barnfiremesquitegrill.com/tucson-barn-fire-mesquite-grill-happy-hours-specials,arnfire@gmail.com Menu Drinks Specials Events Reserve Parties Catering Jobs Facebook page Google pag,
tucson,weak:op-hours-or-nav,,Specials,The Barnyard Crafthouse & Eatery,barnyardaz.com,https://barnyardaz.com/,"nd Receive Notice of Barnyard Specials Email 11011 E Tanque Verde Rd. Tucson, AZ 85749 (520) 600-757",
tucson,weak:op-hours-or-nav,,5pm - 10pm,SideCar,barsidecar.com,http://www.barsidecar.com/,m - Midnight Sunday - Tuesday 5pm - 10pm Wednesday - Thursday 5pm - Midnight,
tucson,weak:op-hours-or-nav,,6 p.m. - 8 p.m.,Bashful Bandit Barbecue,bashfulbanditbbq.com,https://www.bashfulbanditbbq.com/thanksgivingmenu,ckup Thanksgiving Eve between 6 p.m. - 8 p.m. or Thanksgiving Morning between 9 am - 11 am! The brav,
scottsdale,weak:op-hours-or-nav,,special,Basil & Garlic,basilngarlicbistro.com,https://basilngarlicbistro.com/,"hwatering menu of classic and specialty dishes, all made with the freshest ingredients. From our han",
san-luis-obispo,weak:op-hours-or-nav,,Specials,Beda's Biergarten,bedasbiergarten.com,https://bedasbiergarten.com/?utm_medium=referral&utm_source=gmb,for Prost News! News & Events Specials Announcements only for our subscribers and much more We can’t,
tucson,weak:op-hours-or-nav,,7PM – 9PM,Big Bad Wolf Bar & Grill,bigbadwolftucson.com,http://bigbadwolftucson.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"’s ALL ABOUT THE LADIES 🔥 🕖 7PM – 9PM [&hellip;] Find out more Jun 18 Jun 18, 2026 6:00 PM - 11:00",
oakland,weak:op-hours-or-nav,,Special,Blackberry Bistro,blackberrybistrocafe.com,https://www.blackberrybistrocafe.com/,Where Brunch Meets Something Special French Toast • East African Dishes • Cozy Bistro More Than Jus,
tucson,weak:op-hours-or-nav,,8am-8pm,Blue Willow Restaurant & Gift Shop,bluewillowtucson.com,https://www.bluewillowtucson.com/,peration Dine In and Take Out 8am-8pm Tuesday- Saturday 8am-2pm Sunday & Monday ​ ​ 520-327-7577 bot,
tacoma,weak:op-hours-or-nav,,4pm — 2am,Bob's Java Jive,bobsjavajive.com,http://www.bobsjavajive.com/,A 98409 Hours Monday — Friday 4pm — 2am Saturday — Sunday 12pm — 2am Contact owner@bobsjavajive.com,
daly-city,weak:op-hours-or-nav,,Special,Bolare Trattoria & Pizzeria,bolaretrattoriapizzeria.com,https://www.bolaretrattoriapizzeria.com/tc73cv5e/bolare-trattoria-and-pizzeria-pacifica-94044/order-online#menu-section,asti Soup & Salad Daya&#x27;s Special Entrees Pasta Pizza Desserts Sodas Antipasti 🤩 POPULAR Polpet,
oakland,weak:op-hours-or-nav,,special,Bombera,bomberaoakland.com,https://www.bomberaoakland.com/,"gs, seasonal menu changes and special events. We promise not to overload your inbox! Email Address S",
scottsdale,weak:op-hours-or-nav,,11am-9pm,Boo and Henry's Memphis Pit BBQ Restaurant,booandhenrysbbq.com,https://booandhenrysbbq.com/,"urant Hours: Wednesday-Monday 11am-9pm, Closed Tuesdays Shop Shop BBQ Sauces BBQ Rubs N' Seasonings",
tacoma,weak:op-hours-or-nav,,Specials,Bordeaux Wine Bar Tacoma,bordeauxwinebar.com,https://www.bordeauxwinebar.com/events/,to start navigating Events & Specials Warr-King Wines/Live Music The Last Thursday of Every Month i,
tucson,weak:op-hours-or-nav,,special,Borderlands Brewing Sam Hughes,borderlandsbrewing.com,http://borderlandsbrewing.com/,"to receive news, updates, and special offers. bottom of page } max-age=0; path=${r}; expires=Thu, 01",
phoenix-central,weak:op-hours-or-nav,,special,Boycott Bar,boycottbarphx.com,https://www.boycottbarphx.com/learn-what-makes-boycott-bar-special-in-phoenix-s-melrose-district,Learn what makes Boycott Bar special in Phoenix's Melrose district Home Learn what makes Boycott Ba,
five-cities,weak:op-hours-or-nav,,special,Brad's Restaurant,bradsofpismo.com,http://bradsofpismo.com/,"n Brad's menu, which includes special pricing for seniors and kids. The award-winning Clam Chowder,",
five-cities,weak:op-hours-or-nav,,special,Brix Wine Bar & Bottle Shop,brixshellbeach.com,https://brixshellbeach.com/,"re, craft, and connection. We specialize in curating local, small-production wines that celebrate th",
tucson,weak:op-hours-or-nav,,SPECIALS,Brooklyn's Beer & Burgers,brooklynsbeerandburger.com,https://brooklynsbeerandburger.com/tucson-brooklyns-beer-and-burgers-happy-hours-specials,"ngton Rd , Tucson MENU DRINKS SPECIALS REWARDS PARTIES JOBS ORDER RESERVE Twitter page Facebook page",
tacoma,weak:op-hours-or-nav,,11 a.m. – 9 p.m.,Browne Family Vineyards Tasting Room,brownefamilyvineyards.com,https://www.brownefamilyvineyards.com/tacoma,ursday: Noon – 8 p.m. Friday: 11 a.m. – 9 p.m. Saturday: 11 a.m. – 9 p.m. Sunday: Noon – 8 p.m. Nest,
san-luis-obispo,weak:op-hours-or-nav,,Special,Buona Tavola,btslo.com,http://www.btslo.com/,e dinner menu Catering &#038; Special Events Whether you are hosting a private dinner for 60 or an i,
oakland,weak:op-hours-or-nav,,special,Cafe Jolie Petit,cafejolies.com,http://www.cafejolies.com/,"spot, Cafe Jolie. Relive the special No-Hitter he threw this season, hear how a car accident almost",
san-luis-obispo,weak:op-hours-or-nav,,daily,Café Roma,caferomaslo.com,http://www.caferomaslo.com/,"ebook for restaurant updates, daily specials, and more! View fullsize View fullsize View fullsize Vi",
daly-city,weak:op-hours-or-nav,DUP,specials,California Fish Grill,cafishgrill.com,https://www.cafishgrill.com/,the Omega-3’s. Order Explore specials Sustainable Protein Bowls Everything Protein Bowl Cajun shrim,
phoenix-central,weak:op-hours-or-nav,DUP,specials,California Fish Grill,cafishgrill.com,https://www.cafishgrill.com/,the Omega-3’s. Order Explore specials Sustainable Protein Bowls Everything Protein Bowl Cajun shrim,
oakland,weak:op-hours-or-nav,,special,Calabash,calabasheats.com,https://calabasheats.com/menu-page/,"or grab-and-go, catering and special events format. Calabash’s local market and hot/cold case featu",
scottsdale,weak:op-hours-or-nav,,daily,Caramba Mexican Food,carambamex.com,http://carambamex.com/,"fresh, scratch-made goodness daily, plus a killer sports bar vibe! Get Your Fiesta On! Real Mexican",
scottsdale,weak:op-hours-or-nav,,special,Caribbean Palm Scottsdale,caribbeanpalmscottsdale.com,http://caribbeanpalmscottsdale.com/,"pinach, chile flakes and chef special jerk alfredo sauce Fusion Entrees Calaloo and saltfish steamed",
phoenix-central,weak:op-hours-or-nav,,7am - 9pm,Carolina's Mexican Food - Cactus,carolinasmexicanfood.com,http://www.carolinasmexicanfood.com/,Get Directions Hours Mon-Fri: 7am - 9pm Sat: 7am - 9pm Closed Sunday Peoria Order Pickup Delivery by,
phoenix-central,weak:op-hours-or-nav,,special,Carry On,carryonphx.com,http://www.carryonphx.com/,PARTIES OF 5+ Need to book a special journey for a group of five or more travelers? Complete the fo,
spokane,weak:op-hours-or-nav,,daily,Casa de la Birria Spokane,casadelabirriaspokanewa.com,https://casadelabirriaspokanewa.com/casa-de-la-birria-spokane/menu/2018-N-Hamilton-St/,emade fruit drinks made fresh daily + Add to Order Large Agua de Horchata $8.00 Refreshing homemade,
spokane,weak:op-hours-or-nav,,daily,Casa de Oro,casadeoronorth.com,https://casadeoronorth.com/,"also why we sell through our daily specials so quickly because when that fresh pork, beef or chicke",
spokane,weak:op-hours-or-nav,,special,Cascadia Public House,cascadiapublichouse.com,https://www.cascadiapublichouse.com/about-us,"e people who make restaurants special. That dream turned into a space where locals gather, regulars",
scottsdale,weak:op-hours-or-nav,,DAILY,Catch,catchrestaurants.com,https://www.catchrestaurants.com/location/catch-scottsdale/,Kaluga Caviar $ 21 per piece DAILY CHEF SELECTION Limited Availability MP Catch Nigiri Flight Charc,
