name,slug,website,flags,resolution,active_windows
El Agavero Restaurant & Tequila Bar,el-agavero-restaurant-tequila-bar,https://elagavero.com/,homepage_sourced_hh; implausible_active; operating_hours_active,reported,"{1,2,3,4,5,6,7} 10:00:00-22:00:00 [https://elagavero.com/]"
ForTheCulture Oak,fortheculture-oak,http://forthecultureoak.com/,homepage_sourced_hh; operating_hours_active,scanned,"{1,2,3,4,5,6,7} 11:00:00-16:00:00 [http://forthecultureoak.com/] || {1,2,3,4,5,6,7} 17:00:00-23:00:00 [http://forthecultureoak.com/]"
LIMEWOOD BAR & RESTAURANT,limewood-bar-restaurant,https://claremontresortandclub.com/dine/limewood/,implausible_active; operating_hours_active,reported,"{1,2,3,4,5,6,7} 11:30:00-14:00:00 [https://claremontresortandclub.com/dine/in-room-dining/] || {1,2,3,4,5,6,7} 16:00:00-23:00:00 [https://claremontresortandclub.com/dine/in-room-dining/]"
London Bar & Grill,london-bar-grill,https://www.londonbarandgrill.com/,assumed_days_avoidable; homepage_sourced_hh; overlapping_windows,fixed,"{1,2,3,4,5} 16:00:00-19:00:00 [https://www.londonbarandgrill.com/happy-hour/]"
Los Cilantros,los-cilantros,https://lapena.org/los-cilantros-restaurant/,operating_hours_active,scanned,"{3,4,5} 10:00:00-14:30:00 [https://lapena.org/los-cilantros-restaurant/] || {3,4,5} 11:00:00-14:00:00 [https://lapena.org/los-cilantros-restaurant/] || {3,4,5} 17:30:00-21:00:00 [https://lapena.org/los-cilantros-restaurant/]"
Mitama,mitama,http://www.mitamasushi.com/,assumed_days_avoidable,reported,"{1,2,3,4,5} 12:00:00-14:00:00 [http://www.mitamasushi.com/valentines-day-special.html]"
Oeste - Bar,oeste-bar,http://www.oesteoakland.com/,duplicate_windows; homepage_sourced_hh; operating_hours_active,reported,"{6,7} 11:00:00-15:30:00 [http://www.oesteoakland.com/] || {2,3,4,5,6} 11:00:00-15:30:00 [https://www.oesteoakland.com/menus] || {6,7} 17:00:00-19:00:00 [http://www.oesteoakland.com/] || {6,7} 17:00:00-close [http://www.oesteoakland.com/] || {2,3,4,5,6} 17:00:00-19:00:00 [https://www.oesteoakland.com/menus] || {2,3,4,5,6} 17:00:00-close [https://www.oesteoakland.com/menus]"
Pacific Lighthouse,pacific-lighthouse,http://www.pacificlighthouse88.com/,assumed_days_avoidable; operating_hours_active,reported,"{1,2,3,4,5} 10:30:00-15:00:00 [https://www.pacificlighthouse88.com/dim_sum_menu]"
Park Burger,park-burger,http://www.parkburgeroakland.com/,implausible_active; operating_hours_active,reported,"{1,2,3,4,5,6,7} 11:30:00-20:30:00 [https://www.parkburgeroakland.com/menu]"
Pizzaiolo,pizzaiolo,http://www.pizzaiolooakland.com/,homepage_sourced_hh; operating_hours_active,scanned,"{1,2,3,4} 17:00:00-21:00:00 [http://www.pizzaiolooakland.com/] || {1,2,3,4} 17:00:00-22:00:00 [http://www.pizzaiolooakland.com/] || {1,2,3,4} 17:00:00-18:00:00 [http://www.pizzaiolooakland.com/]"
RnR Sushi & Bowls,rnr-sushi-bowls,https://www.piedmontrnr.com/,duplicate_windows; operating_hours_active,reported,"{1,2,3,4,5,6,7} 12:00:00-15:30:00 [https://www.piedmontrnr.com/sushi-special-1] || {1,2,7} 12:00:00-15:30:00 [https://www.piedmontrnr.com/menu] || {1,2,3,4,5,6,7} 17:00:00-20:30:00 [https://www.piedmontrnr.com/sushi-special-1] || {1,2,7} 17:00:00-20:30:00 [https://www.piedmontrnr.com/menu]"
Saucy Oakland,saucy-oakland,http://www.saucyoakland.com/,homepage_sourced_hh; operating_hours_active,scanned,"{2} 17:00:00-20:00:00 [http://www.saucyoakland.com/] || {3,4} 17:00:00-21:00:00 [http://www.saucyoakland.com/] || {5,6} 17:00:00-23:00:00 [http://www.saucyoakland.com/]"
Sliver Pizzeria,sliver-pizzeria,http://sliverpizzeria.com/,assumed_days_avoidable,reported,"{1,2,3,4,5} 14:00:00-16:30:00 [https://www.sliverpizzeria.com/lunch-deals]"
Sliver Pizzeria,sliver-pizzeria-6lrx0i,http://www.sliverpizzeria.com/,assumed_days_avoidable,reported,"{1,2,3,4,5} 14:00:00-16:30:00 [https://www.sliverpizzeria.com/lunch-deals]"
The Cook and Her Farmer,the-cook-and-her-farmer,http://www.thecookandherfarmer.com/,homepage_sourced_hh,scanned,{4} 17:00:00-19:00:00 [http://www.thecookandherfarmer.com/]
The Overlook at Tilden,the-overlook-at-tilden,https://overlookattilden.com/,homepage_sourced_hh,scanned,"{1,2,3,4} 15:00:00-17:00:00 [https://overlookattilden.com/]"
Todos,todos,https://www.todosbuenos.com/?y_source=1_OTI4NTIyNDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,assumed_days_avoidable,reported,"{1,2,3,4,5} 15:00:00-18:00:00 [https://www.instagram.com/p/DQX2JrGAaO4/]"
